Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1_Lic;Arb1_Nom;Arb1_LR;Arb1_CD;Arb2_Lic;Arb2_Nom;Arb2_LR;Arb2_CD;
PTCA06;03;4FBA009;2023-11-13;20:00;;xxxxx;0060051;DRAP 2;;;;;0;;;;0;;;;;
PTCA06;03;4FBA010;2023-11-14;20:30;0062701;AS MONACO 3;0064512;ASPTT NICE 2; 3/0;25-11,25-18,25-8;75-37;LYCEE RAINIER III;0;;;;0;;;;;
PTCA06;03;4FBA011;2023-11-13;19:30;0062701;AS MONACO 1;0062701;AS MONACO 2; 3/0;25-13,25-18,25-23;75-54;MONEGHETTI;0;;;;0;;;;;
PTCA06;03;4FBA012;2023-11-16;20:00;0064512;ASPTT NICE 1;0060051;DRAP 1; 3/1;16-25,25-11,25-16,25-13;91-65;MAGNOLIAS;0;;;;0;;;;;
PTCA06;04;4FBA013;2023-11-24;20:00;0064512;ASPTT NICE 1;;xxxxx;;;;MAGNOLIAS;0;;;;0;;;;;
PTCA06;04;4FBA014;2023-12-18;20:00;0060051;DRAP 1;0062701;AS MONACO 1;;;;MONEGHETTI;0;;;;0;;;;;
PTCA06;04;4FBA015;2023-11-21;20:30;0062701;AS MONACO 2;0062701;AS MONACO 3; 0/3;14-25,19-25,16-25;49-75;LTHM;0;;;;0;;;;;
PTCA06;04;4FBA016;2023-11-21;20:00;0064512;ASPTT NICE 2;0060051;DRAP 2;;;;MAGNOLIAS;0;;;;0;;;;;
PTCA06;05;4FBA017;2023-11-27;20:00;;xxxxx;0064512;ASPTT NICE 2;;;;;0;;;;0;;;;;
PTCA06;05;4FBA018;2023-11-27;20:00;0060051;DRAP 2;0062701;AS MONACO 2;;;;LYCEE GOSCINNY;0;;;;0;;;;;
PTCA06;05;4FBA019;2023-11-28;20:00;0062701;AS MONACO 3;0060051;DRAP 1;;;;LYCEE RAINIER III;0;;;;0;;;;;
PTCA06;05;4FBA020;2023-11-27;19:30;0062701;AS MONACO 1;0064512;ASPTT NICE 1;;;;MONEGHETTI;0;;;;0;;;;;
PTCA06;06;4FBA021;2023-12-04;19:30;0062701;AS MONACO 1;;xxxxx;;;;MONEGHETTI;0;;;;0;;;;;
PTCA06;06;4FBA022;2023-12-07;20:00;0064512;ASPTT NICE 1;0062701;AS MONACO 3;;;;MAGNOLIAS;0;;;;0;;;;;
PTCA06;06;4FBA023;2023-12-04;20:00;0060051;DRAP 1;0060051;DRAP 2;;;;LYCEE GOSCINNY;0;;;;0;;;;;
PTCA06;06;4FBA024;2023-12-04;19:30;0062701;AS MONACO 2;0064512;ASPTT NICE 2;;;;MONEGHETTI;0;;;;0;;;;;
PTCA06;07;4FBA025;2023-12-11;20:00;;xxxxx;0062701;AS MONACO 2;;;;;0;;;;0;;;;;
PTCA06;07;4FBA026;2023-12-12;20:00;0064512;ASPTT NICE 2;0060051;DRAP 1;;;;MAGNOLIAS;0;;;;0;;;;;
PTCA06;07;4FBA027;2023-12-11;20:00;0060051;DRAP 2;0064512;ASPTT NICE 1;;;;LYCEE GOSCINNY;0;;;;0;;;;;
PTCA06;07;4FBA028;2023-12-12;20:00;0062701;AS MONACO 3;0062701;AS MONACO 1;;;;LYCEE RAINIER III;0;;;;0;;;;;
PTCA06;01;APAA001;2023-10-19;20:00;0069048;ASLM 1;0067689;US CAGNES 1; 3/1;25-21,25-15,20-25,25-21;95-82;GYMNASE JACQUELINE DE ROMILLY;0;;;;0;;;;;
PTCA06;01;APAA002;2023-10-17;19:30;0060041;PEGOMAS 1;0069927;ASPTT CAGNES SUR MER; 0/3;18-25,10-25,6-25;34-75;PEGOMAS;0;;;;0;;;;;
PTCA06;01;APAA003;2023-10-16;20:30;0060008;MLNVB 1;0060050;PHENIX MARITIMUM VOLLEY; 0/3;23-25,19-25,24-26;66-76;MIMOSAS;0;;;;0;;;;;
PTCA06;01;APAA004;2023-10-16;20:00;0060036;PGVB 1;0068779;CLUB OMNISPORTS DE VALBONNE; 3/0;25-16,25-15,25-7;75-38;SALLE OMNISPORTS;0;;;;0;;;;;
PTCA06;01;APAA005;2023-10-19;20:30;0063347;PDFVB 1;0068979;CANNES AERO SPORTS VOLLEY-BALL; 3/1;26-28,25-18,25-16,25-17;101-79;LEONARD DE VINCI;0;;;;0;;;;;
PTCA06;02;APAA006;2023-10-26;20:30;0063347;PDFVB 1;0067689;US CAGNES 1; 3/0;25-13,25-8,25-19;75-40;LEONARD DE VINCI;0;;;;0;;;;;
PTCA06;02;APAA007;2023-10-26;20:00;0068979;CANNES AERO SPORTS VOLLEY-BALL;0060036;PGVB 1; 1/3;19-25,18-25,29-27,12-25;78-102;SALLE LES VALLERGUES;0;;;;0;;;;;
PTCA06;02;APAA008;2023-10-25;20:45;0068779;CLUB OMNISPORTS DE VALBONNE;0060008;MLNVB 1; 0/3;19-25,11-25,14-25;44-75;MIMOSAS;0;;;;0;;;;;
